Column_A,Column_B,Column_C,Column_D,Column_E
0.4945232739380641,0.1400877051219242,0.5843967058938113,0.2786651341333013,0.5431366119061295
0.4412625857706463,0.14729793657922258,0.5225734421608004,0.5239813668656174,0.6041191936234322
0.44812676818108016,0.1673015677314307,0.7190264138607878,0.5967877658982904,0.4670235436452788
0.5622431198629684,0.17527471595011132,0.4263701483906823,0.43298701515061655,0.4193007186972788
0.21500315237810474,0.4468354256075412,0.48866239165748526,0.6030201152818627,0.39059760603002414
0.5178426187051847,0.19534580796471085,0.6704544382789279,0.7089932127993347,0.291969116970499
0.4514278123921984,0.17050475784280264,0.7831121721097822,0.48740643660247107,0.4508527018339188
0.44967290096977697,0.1333164775768078,0.27663617730685597,0.4773063734866733,0.29539939439042623
0.48880963577020664,0.1895577534872332,0.3842119570661831,0.32406772968096276,0.6477217116797158
0.42432002437223476,0.15512414725442067,0.6852558721232934,0.6364920873357146,0.17918770467035433
0.46232901112851643,0.2044087096165805,0.49250879897753025,0.24824137739723195,0.30998843134589843
0.07458647364281984,0.6765934332478314,0.9578002103046248,0.3030936788794224,0.48268144437371313
0.491227120326495,0.1461008398500251,0.7914229415493674,0.3161951889833634,0.6333491119236665
0.3948570447233105,0.19835148974169406,0.13693022034917762,0.42425626029876123,0.7056859205151165
0.4506851471875654,0.16507367375358337,0.7824001508952861,0.43642018902963964,0.6063500251866818
0.2182440854848694,0.4485967632330857,0.5045942541645958,0.6733069775840895,0.28785286706898555
0.5505895359074098,0.25597809692942186,0.6990301348689781,0.6128233449898698,0.18592323242207703
0.5078196784006153,0.18713220102317824,0.7083167072529829,0.6570220244651002,0.23093409585723687
0.7715179732569176,0.4953143602175718,0.42533754203790625,0.4803851658620791,0.07027837005432902
0.7057391802770795,0.4519497195620678,0.4112249277059814,0.34989615126671614,0.3960176572540379
0.5203961746776132,0.21893774669374572,0.7262587664036348,0.6495008851999395,0.23377794245182112
0.4608137834281586,0.21212589026336579,0.47305639298138896,0.28172694526343894,0.5178960169774923
